Question #,Scrambled sentence,Answer
1,student / emma / school / a / is / middle,Emma is a middle school student.
2,younger / lives / with / brother / she / her,She lives with her younger brother.
3,school / every / goes / bus / she / by / weekday / to,She goes to school by bus every weekday.
4,saturday / woke / early / emma / last / up,Emma woke up early last Saturday.
5,wanted / because / library / visit / she / the / city / to,She wanted to visit the city library.
6,books / borrowed / animals / she / two / about,She borrowed two books about animals.
7,enjoys / because / learning / she / reading / likes / new / things,She enjoys reading because she likes learning new things.
8,lunch / met / after / friend / emma / her / sarah,After lunch Emma met her friend Sarah.
9,together / badminton / played / they,They played badminton together.
10,weather / warm / the / was / but / hot / too / not / it / was,The weather was warm but it was not too hot.
11,evening / mother / her / helped / emma / in / the,Emma helped her mother in the evening.
12,vegetables / cooked / chicken / and / they,They cooked chicken and vegetables.
13,together / movie / family / watched / the / a,The family watched a movie together.
14,read / one / books / her / new / emma / of,Emma read one of her new books.
15,happy / because / felt / fun / she / had / day / a,She felt happy because she had a fun day.
16,visited / science / classmates / his / a / and / museum / ryan,Ryan and his classmates visited a science museum.
17,traveled / bus / they / by,They traveled by bus.
18,morning / arrived / the / they / in,They arrived in the morning.
19,museum / many / exhibits / interesting / had / the,The museum had many interesting exhibits.
20,section / enjoyed / space / ryan / the,Ryan enjoyed the space section.
21,about / likes / because / learning / planets / he,He likes learning about planets.
22,model / rocket / saw / a / he / of / a,He saw a model of a rocket.
23,watched / about / short / astronauts / video / a / he,He watched a short video about astronauts.
24,students / section / animal / the / visited / after / that / the,After that the students visited the animal section.
25,about / learned / sea / animals / they,They learned about sea animals.
26,questions / teacher / asked / their,Their teacher asked questions.
27,students / shared / many / answers / their / and,Many students shared their answers.
28,lunch / class / noon / the / ate / at,At noon the class ate lunch.
29,gift / visited / lunch / after / they / shop / the,After lunch they visited the gift shop.
30,happy / because / felt / ryan / learned / things / many / new / he,Ryan felt happy because he learned many new things.
31,friday / olivia / sports / school's / took / part / last / in / day / her,Last Friday Olivia took part in her school's sports day.
32,field / event / held / behind / school / was / large / the / the / on,The event was held on the large field behind the school.
33,parents / attended / students / many / teachers / and / event / the,Many students teachers and parents attended the event.
34,weather / everyone / excited / sunny / and / was / the / was,The weather was sunny and everyone was excited.
35,activities / joined / different / olivia / three / during / day / the,Olivia joined three different activities during the day.
36,classmates / race / competed / running / several / with / she / in / a,First she competed in a running race with several classmates.
37,place / second / finished / in / and / fast / very / ran / she,She ran very fast and finished in second place.
38,race / relay / joined / olivia / later / a,Later Olivia joined a relay race.
39,baton / carefully / team / passed / her / the,Her team passed the baton carefully.
40,weeks / several / practiced / competition / before / they / the / for,They practiced for several weeks before the competition.
41,tents / students / sat / lunch / under / at,At lunchtime students sat under tents.
42,lunch / with / ate / friends / they / their,They ate lunch with their friends.
43,snacks / drinks / parents / students / many / brought / and / for / the,Many parents brought snacks and drinks for the students.
44,team / match / final / won / and / pulled / hard / her / the,Her team pulled hard and won the final match.
45,certificate / proud / performance / received / felt / olivia / and / a / of / her,Olivia received a certificate and felt proud of her performance.
