Question #,Scrambled sentence,Answer
1,sunday / jack / last / zoo / the / went / to,Last Sunday Jack went to the zoo.
2,family / his / with / he / went,He went with his family.
3,sunny / weather / the / was,The weather was sunny.
4,many / saw / animals / they / different,They saw many different animals.
5,monkeys / liked / jack / the,Jack liked the monkeys.
6,very / active / they / were,They were very active.
7,elephants / sister / liked / his / the,His sister liked the elephants.
8,strong / and / big / they / were,They were big and strong.
9,family / lunch / ate / the / at / noon,The family ate lunch at noon.
10,small / lake / near / a,They ate near a small lake.
11,bird / watched / lunch / they / show / a / after,After lunch they watched a bird show.
12,crowd / flew / birds / over / the / the,The birds flew over the crowd.
13,postcard / gift / bought / jack / shop / a / from / the,Jack bought a postcard from the gift shop.
14,friends / wanted / show / to / his / he / it / to,He wanted to show it to his friends.
15,happy / were / they / because / great / day / had / a / they,They were happy because they had a great day.
16,saturday / emma / beach / last / the / went / to,Last Saturday Emma went to the beach.
17,weather / because / excited / were / sunny / warm / and / the / was / they,They were excited because the weather was warm and sunny.
18,morning / early / arrived / they / in / the,They arrived early in the morning.
19,bucket / brought / shovel / a / and / emma / small / a,Emma brought a bucket and a small shovel.
20,wanted / near / she / water / build / large / sandcastle / a / the / to,She wanted to build a large sandcastle near the water.
21,hour / spent / building / she / sandcastle / a / an,She spent an hour building a sandcastle.
22,shells / brother / her / collected,Her brother collected shells.
23,family / many / took / pictures / the,The family took many pictures.
24,beach / walked / family / after / along / the / that / together / the,After that the family walked along the beach together.
25,birds / saw / flying / several / ocean / they / the / over,They saw several birds flying over the ocean.
26,children / playing / were / some / volleyball,Some children were playing volleyball.
27,lunch / umbrella / noon / under / they / large / ate / at / a,At noon they ate lunch under a large umbrella.
28,sandwich / emma / orange / drank / juice / ate / and / some / a,Emma ate a sandwich and drank some orange juice.
29,water / lunch / she / after / brother / with / her / played / the / in,After lunch she played in the water with her brother.
30,happy / tired / spending / after / beach / felt / she / the / day / but / at,She felt tired but happy after spending the day at the beach.
31,saturday / lucy / pet / last / went / store / a / to,Last Saturday Lucy went to a pet store.
32,animals / lucy / loves,Lucy loves animals.
33,shopping / pet / center / near / store / was / a / the,The pet store was near a shopping center.
34,arrived / they / when / animals / many / different / lucy / saw,When they arrived Lucy saw many different animals.
35,swimming / fish / saw / tanks / she / large / in,She saw fish swimming in large tanks.
36,birds / colorful / cages / also / in / saw / she,She also saw colorful birds in cages.
37,found / rabbits / lucy / several,Lucy found several rabbits.
38,carrots / rabbits / eating / were / the,The rabbits were eating carrots.
39,cute / very / were / they / thought / lucy,Lucy thought they were very cute.
40,puppy / employee / small / showed / lucy / an / a,An employee showed Lucy a small puppy.
41,friendly / puppy / was / the,The puppy was friendly.
42,watched / puppy / lucy / smiled / the / as,Lucy smiled as she watched the puppy.
43,fish / bought / lucy / food / some,Lucy bought some fish food.
44,helping / employee / thanked / lucy / the / her / for,Lucy thanked the employee for helping her.
45,wonderful / pet / had / store / she / time / at / the / a,She had a wonderful time at the pet store.
