Question #,Scrambled sentence,Answer
Rainbows,colorful / enjoy / rainbows / people / seeing / many,Many people enjoy seeing colorful rainbows.
Rainbows,sunny / appear / rainbows / after / days / rain / on,Rainbows appear after rain on sunny days.
Rainbows,colors / many / sunlight / naturally / different / contains,Sunlight contains many different colors naturally.
Rainbows,sunlight / colors / separate / help / into / raindrops,Raindrops help separate sunlight into colors.
Rainbows,rainbow / tops / red / appears / light / on,Red light appears on rainbow tops.
Rainbows,violet / rainbow / appears / bottoms / light / on,Violet light appears on rainbow bottoms.
Rainbows,enters / sunlight / raindrops / rainbows / when / form,Rainbows form when sunlight enters raindrops.
Rainbows,through / bends / passing / while / water / light,Light bends while passing through water.
Rainbows,tiny / droplets / prisms / like / water / act,Water droplets act like tiny prisms.
Rainbows,rainbows / storms / often / people / after / see,People often see rainbows after storms.
Rainbows,understand / scientists / rainbows / today / form / how,Scientists understand how rainbows form today.
Rainbows,natural / sights / beautiful / remain / rainbows / worldwide,Rainbows remain beautiful natural sights worldwide.
Schools,daily / children / school / many / go / to,Many children go to school daily.
Schools,new / schools / things / students / learn / help,Schools help students learn new things.
Schools,reading / students / and / writing / math / practice,Students practice reading writing and math.
Schools,students / difficult / understand / help / teachers / lessons,Teachers help students understand difficult lessons.
Schools,important / schools / life / skills / teach / for,Schools teach important skills for life.
Schools,solve / students / problems / learn / how / to,Students learn how to solve problems.
Schools,make / help / good / schools / children / friends,Schools help children make good friends.
Schools,classroom / students / many / activities / together / enjoy,Many students enjoy classroom activities together.
Schools,group / students / together / during / work / projects,Students work together during group projects.
Schools,jobs / students / prepare / schools / for / help,Schools help students prepare for jobs.
Schools,make / helps / people / learning / decisions / better,Learning helps people make better decisions.
Schools,important / remain / schools / everyone / places / for,Schools remain important places for everyone.
Exercise,single / exercise / every / people / need / day,People need exercise every single day.
Exercise,strong / exercise / healthy / helps / stay / people / and,Exercise helps people stay strong and healthy.
Exercise,games / many / after / children / school / play,Many children play games after school.
Exercise,good / exercise / running / everyone / for / a / is,Running is a good exercise for everyone.
Exercise,many / easy / walking / for / people / is,Walking is easy for many people.
Exercise,too / exercise / happy / feel / helps / people,Exercise helps people feel happy too.
Exercise,outside / sports / playing / many / children / enjoy,Many children enjoy playing sports outside.
Exercise,children / sports / move / help / bodies / their,Sports help children move their bodies.
Exercise,night / sleep / exercise / helps / well / at / people,Exercise helps people sleep well at night.
Exercise,together / dinner / walk / after / many / families,Many families walk together after dinner.
Exercise,parks / ride / people / bikes / some / in,Some people ride bikes in parks.
Exercise,important / healthy / exercise / lives / remains / for,Exercise remains important for healthy lives.
World Cup,today / watch / cup / many / children / the / world,Many children watch the World Cup today.
World Cup,games / world / exciting / cup / has / many / the,The World Cup has many exciting games.
World Cup,teams / cheering / children / enjoy / for / their,Children enjoy cheering for their teams.
World Cup,heroes / become / children / players / many / for,Many players become heroes for children.
World Cup,proudly / football / children / wear / shirts / some,Some children wear football shirts proudly.
World Cup,school / together / after / matches / friends / watch,Friends watch matches together after school.
World Cup,television / football / families / many / on / enjoy,Many families enjoy football on television.
World Cup,too / countries / about / learn / children / new,Children learn about new countries too.
World Cup,colors / different / flags / teams / and / have / different,Different teams have different flags and colors.
World Cup,football / dream / children / many / of / playing,Many children dream of playing football.
World Cup,tournaments / players / hard / work / to / reach,Players work hard to reach tournaments.
World Cup,together / brings / world / people / cup / the,The World Cup brings people together.
