Question #,Scrambled sentence,Answer
1,noah / stayed / inside / yesterday / afternoon,Noah stayed inside yesterday afternoon.
2,because / it / was / raining / heavily,Because it was raining heavily.
3,watched / the / rain / he / fall,He watched the rain fall.
4,streets / were / wet / and / very / quiet / the,The streets were wet and very quiet.
5,after / lunch / noah / read / a / comic / book / in / his / room,After lunch Noah read a comic book in his room.
6,story / was / funny / and / exciting / the,The story was funny and exciting.
7,laughed / at / several / parts / of / the / book / he,He laughed at several parts of the book.
8,later / noah / helped / his / father / clean / the / kitchen,Later Noah helped his father clean the kitchen.
9,washed / the / dishes / they,They washed the dishes.
10,father / thanked / him / his,His father thanked him.
11,in / the / evening / noah / played / a / board / game / with / his / sister,In the evening Noah played a board game with his sister.
12,before / bed / noah / listened / to / music / and / relaxed,Before bed Noah listened to music and relaxed.
13,wednesday / lily / helped / last / grandfather / her,Last Wednesday Lily helped her grandfather.
14,weather / cool / pleasant / was / and / the,The weather was cool and pleasant.
15,wore / clothes / old / lily / gardening / for,Lily wore old clothes for gardening.
16,watered / plants / carefully / lily / the,Lily watered the plants carefully.
17,carried / watering / small / can / a / she,She carried a small watering can.
18,grandfather / planted / flowers / new / nearby / her,Her grandfather planted new flowers nearby.
19,pulled / weeds / soil / lily / the / from,Lily pulled weeds from the soil.
20,worked / hard / hours / several / for / she,She worked hard for several hours.
21,garden / cleaner / looked / work / after / their / the,The garden looked cleaner after their work.
22,picked / tomatoes / together / fresh / they,They picked fresh tomatoes together.
23,tomatoes / red / juicy / were / and / the,The tomatoes were red and juicy.
24,thanked / grandfather / lily / her,Lily thanked her grandfather.
25,friday / jake / joined / last / school / sports / day / the,Last Friday Jake joined the school sports day.
26,students / gathered / many / school / field / the / on,Many students gathered on the school field.
27,weather / warm / sunny / was / and / all / day / the,The weather was warm and sunny all day.
28,jake / ran / first / race / the / in,Jake ran in the first race.
29,finished / race / quickly / very / the / he,He finished the race very quickly.
30,friends / cheered / loudly / sidelines / the / from / his,His friends cheered loudly from the sidelines.
31,next / jake / relay / race / joined / a,Next Jake joined a relay race.
32,team / worked / together / very / his / well,His team worked together very well.
33,passed / baton / carefully / race / during / the / they / the,They passed the baton carefully during the race.
34,everyone / enjoyed / exciting / activities / the,Everyone enjoyed the exciting activities.
35,teachers / water / students / the / to / gave,Teachers gave water to the students.
36,before / going / home / jake / received / small / prize / a,Before going home Jake received a small prize.
