Question #,Scrambled sentence,Answer
Blue Whales,whale / blue / large / very / is / the,The blue whale is very large.
Blue Whales,largest / animal / the / is / today / it,It is the largest animal today.
Blue Whales,oceans / whales / earth's / blue / live / in,Blue whales live in Earth's oceans.
Blue Whales,whales / thirty / blue / grow / meters / some,Some blue whales grow thirty meters.
Blue Whales,weigh / hundred / can / over / they / two,They can weigh over two hundred.
Blue Whales,many / whales / tiny / blue / eat / animals,Blue whales eat many tiny animals.
Blue Whales,food / favorite / called / krill / their / is,Their favorite food is called krill.
Blue Whales,tons / several / daily / eat / they,They eat several tons daily.
Blue Whales,across / swim / distances / whales / blue / long,Blue whales swim across long distances.
Blue Whales,feeding / between / areas / regularly / travel / they,They travel between feeding areas regularly.
Blue Whales,study / scientists / every / whales / year / blue,Scientists study blue whales every year.
Blue Whales,amazing / today / animals / remain / whales / blue,Blue whales remain amazing animals today.
Clean Water,every / need / people / clean / day / water,People need clean water every day.
Clean Water,healthy / helps / stay / people / clean / water,Clean water helps people stay healthy.
Clean Water,every / during / people / season / drink / water,People drink water during every season.
Clean Water,properly / body / work / helps / the / water,Water helps the body work properly.
Clean Water,every / recommend / doctors / drinking / water / day,Doctors recommend drinking water every day.
Clean Water,daily / people / bottles / carry / many / water,Many people carry water bottles daily.
Clean Water,illnesses / prevent / many / clean / helps / water,Clean water helps prevent many illnesses.
Clean Water,every / need / hospitals / day / clean / water,Hospitals need clean water every day.
Clean Water,cooking / meals / use / people / for / water,People use water for cooking meals.
Clean Water,clothes / washing / for / use / families / water,Families use water for washing clothes.
Clean Water,school / use / students / days / water / throughout,Students use water throughout school days.
Clean Water,worldwide / around / people / helps / clean / water,Clean water helps people around worldwide.
World Cup,today / watch / cup / many / world / the / people,Many people watch the World Cup today.
World Cup,famous / cup / tournament / a / world / the / is,The World Cup is a famous tournament.
World Cup,countries / teams / many / different / from / come,Teams come from many different countries.
World Cup,teams / hard / players / work / their / for,Players work hard for their teams.
World Cup,favorite / fans / support / teams / many / their,Many fans support their favorite teams.
World Cup,together / watch / families / matches / home / at,Families watch matches together at home.
World Cup,exciting / together / games / watching / enjoy / friends,Friends enjoy watching exciting games together.
World Cup,four / every / tournament / years / happens / the,The tournament happens every four years.
World Cup,years / wait / many / for / people / it,Many people wait years for it.
World Cup,there / players / someday / dream / about / playing,Players dream about playing there someday.
World Cup,teams / proud / countries / their / feel / of,Countries feel proud of their teams.
World Cup,event / football / remains / biggest / the / it,It remains the biggest football event.
